memoryKey,userKey,type,category,importance,accessCount,hasExpiry,hasMetadata,hasSourceSignal,hasConversationLink,hasConflictFlag,hasArchivedFlag,consentState,sensitivityTier,provenanceState,retentionState,disposition,closureState,nextAction,consumerPolicy
c0b8f6ac7578b1ed7c6ab8c6,0454f0a72b2c094e6d6d7f71,FEEDBACK,essay_review,0.6916048997472893,2,false,true,true,false,false,false,missing_preference_row,high,source_linked,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
fded8b9bca8e9c6b7c37649e,1084577cbb3f38657c9e4ced,FACT,test_score,0.8643729807219115,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
8fb54903f9ca588a68827522,2e6eb3b3ab42be258b33e462,FACT,test_score,0.8149746480873835,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
485b39b11561c6e0c9debbce,7f2cc6c7372a4cd8e30d361f,FACT,test_score,0.8147483272637133,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
1f2cd0aca8461e7b9854c575,356feb6c190241bfda872996,FACT,test_score,0.8643753885968674,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
3eefde0a0edd705bcdb66ad3,7474e419a4cf4bf9fc35962c,FACT,test_score,0.8643766473328331,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
c1d61c95035e43170241d9d3,1aba494c20482f7428d5ee38,FACT,test_score,0.8644753528620196,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
1513f915ead2c64a41e61157,db8b0894f820112628cf25d2,FACT,test_score,0.8643794644513507,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
e89cb8d5b35b02f1cde9057a,0454f0a72b2c094e6d6d7f71,FEEDBACK,improvement,0.544472215150218,0,false,true,false,false,false,false,missing_preference_row,medium,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,weak_state_only_until_source_consent_retention_review
0a6e438a7d59bb6122af25fb,b71a8640396eb8fdde726744,FACT,test_score,0.8150830033100109,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
